Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((0.18883253633975983, 0.3589141070842743)) 	 Right eye: ((0.24588124454021454, 0.3314434885978699))
Left eye: ((0.19256195425987244, 0.36447542905807495)) 	 Right eye: ((0.2482500672340393, 0.3284292221069336))
Left eye: ((0.18627551198005676, 0.361444354057312)) 	 Right eye: ((0.2468058168888092, 0.33365029096603394))
Left eye: ((0.18617960810661316, 0.3566981852054596)) 	 Right eye: ((0.24862681329250336, 0.33563432097435))
Left eye: ((0.18748953938484192, 0.3665238916873932)) 	 Right eye: ((0.24526193737983704, 0.32766011357307434))
Left eye: ((0.1885446161031723, 0.36384162306785583)) 	 Right eye: ((0.25364428758621216, 0.33663371205329895))
Left eye: ((0.1927286833524704, 0.3607141077518463)) 	 Right eye: ((0.25849688053131104, 0.3456515967845917))
Left eye: ((0.3194889724254608, 0.33659878373146057)) 	 Right eye: ((0.3979409337043762, 0.3311150074005127))
Left eye: ((0.3668796718120575, 0.3200019299983978)) 	 Right eye: ((0.4668141305446625, 0.3234671652317047))
Left eye: ((0.39805740118026733, 0.31168049573898315)) 	 Right eye: ((0.4891044497489929, 0.32456472516059875))
Left eye: ((0.4004800021648407, 0.3066798448562622)) 	 Right eye: ((0.48159095644950867, 0.3296881914138794))
Left eye: ((0.4005999267101288, 0.30775970220565796)) 	 Right eye: ((0.48604273796081543, 0.3229549825191498))
Left eye: ((0.4030223488807678, 0.3037112355232239)) 	 Right eye: ((0.487152099609375, 0.3345477283000946))
Left eye: ((0.4025289714336395, 0.30664780735969543)) 	 Right eye: ((0.4897404909133911, 0.3276715874671936))
Left eye: ((0.4002363085746765, 0.3075510859489441)) 	 Right eye: ((0.49081310629844666, 0.33354562520980835))
Left eye: ((0.3990320563316345, 0.3083657920360565)) 	 Right eye: ((0.4923713207244873, 0.3329610824584961))
Left eye: ((0.4005023241043091, 0.3090175986289978)) 	 Right eye: ((0.4883982837200165, 0.3273339867591858))
Left eye: ((0.4041736125946045, 0.3099825978279114)) 	 Right eye: ((0.48864156007766724, 0.3284880220890045))
Left eye: ((0.4020126163959503, 0.3131228983402252)) 	 Right eye: ((0.48945268988609314, 0.33082547783851624))
Left eye: ((0.4037865698337555, 0.3142320513725281)) 	 Right eye: ((0.4910932183265686, 0.3337608873844147))
Left eye: ((0.3985690474510193, 0.3083980977535248)) 	 Right eye: ((0.48749643564224243, 0.33825981616973877))
Left eye: ((0.4010816514492035, 0.3073869049549103)) 	 Right eye: ((0.4843526780605316, 0.3346773386001587))
Left eye: ((0.39852163195610046, 0.3061777353286743)) 	 Right eye: ((0.48527806997299194, 0.3346879184246063))
Left eye: ((0.3998086750507355, 0.30886006355285645)) 	 Right eye: ((0.4872613549232483, 0.34004586935043335))
Left eye: ((0.4093085527420044, 0.31415826082229614)) 	 Right eye: ((0.49982714653015137, 0.34135276079177856))
Left eye: ((0.41206660866737366, 0.3200678825378418)) 	 Right eye: ((0.5020178556442261, 0.33855631947517395))
Left eye: ((0.4141088128089905, 0.3197288513183594)) 	 Right eye: ((0.5063586831092834, 0.34623247385025024))
Left eye: ((0.41340747475624084, 0.32384830713272095)) 	 Right eye: ((0.503917396068573, 0.3455621898174286))
Left eye: ((0.41320863366127014, 0.3263120651245117)) 	 Right eye: ((0.4999580979347229, 0.3483438491821289))
Left eye: ((0.41168034076690674, 0.32297229766845703)) 	 Right eye: ((0.49688878655433655, 0.34983089566230774))
Left eye: ((0.4119454324245453, 0.32541152834892273)) 	 Right eye: ((0.4976898431777954, 0.3535476326942444))
